iter	Passed	Remaining
0	4	4779
1	8	4343
2	12	4139
3	17	4324
4	21	4230
5	24	4085
6	27	3966
7	32	4013
8	35	3908
9	38	3842
10	42	3853
11	46	3860
12	50	3835
13	54	3815
14	57	3798
15	61	3792
16	65	3765
17	69	3772
18	73	3794
19	77	3802
20	81	3802
21	84	3768
22	88	3757
23	92	3758
24	95	3738
25	99	3735
26	103	3740
27	107	3733
28	111	3727
29	115	3730
30	119	3724
31	123	3723
32	126	3718
33	131	3723
34	134	3710
35	138	3703
36	142	3704
37	146	3717
38	150	3708
39	154	3706
40	158	3698
41	162	3696
42	165	3694
43	169	3693
44	174	3701
45	179	3719
46	183	3727
47	188	3732
48	192	3731
49	196	3732
50	201	3746
51	205	3750
52	209	3749
53	213	3748
54	218	3748
55	222	3745
56	226	3746
57	230	3742
58	234	3739
59	239	3744
60	243	3750
61	248	3763
62	253	3770
63	257	3771
64	262	3775
65	266	3775
66	270	3767
67	274	3768
68	279	3766
69	283	3768
70	287	3762
71	291	3761
72	296	3770
73	301	3773
74	306	3775
75	310	3776
76	315	3778
77	319	3781
78	325	3791
79	330	3796
80	334	3796
81	339	3795
82	343	3800
83	349	3806
84	353	3809
85	358	3815
86	363	3810
87	367	3805
88	372	3808
89	376	3809
90	381	3806
91	385	3809
92	390	3812
93	395	3811
94	400	3810
95	404	3809
96	409	3811
97	413	3809
98	418	3807
99	423	3810
100	427	3805
101	432	3805
102	436	3803
103	441	3802
104	446	3802
105	450	3798
106	454	3797
107	459	3795
108	463	3790
109	467	3785
110	471	3779
111	476	3777
112	481	3775
113	486	3777
114	490	3775
115	494	3772
116	499	3769
117	503	3766
118	508	3762
119	512	3758
120	516	3754
121	521	3752
122	525	3749
123	530	3748
124	535	3748
125	540	3747
126	544	3744
127	549	3741
128	553	3738
129	558	3734
130	562	3731
131	566	3726
132	570	3718
133	574	3712
134	579	3710
135	583	3708
136	588	3704
137	592	3699
138	597	3698
139	601	3694
140	605	3688
141	610	3686
142	614	3682
143	619	3679
144	623	3676
145	628	3673
146	632	3667
147	635	3660
148	640	3656
149	644	3652
150	649	3650
151	653	3646
152	658	3642
153	662	3638
154	667	3636
155	671	3633
156	675	3629
157	680	3625
158	684	3622
159	689	3617
160	693	3615
161	698	3611
162	702	3609
163	707	3605
164	711	3602
165	716	3597
166	720	3594
167	725	3591
168	729	3588
169	734	3584
170	738	3579
171	742	3575
172	746	3568
173	751	3566
174	755	3560
175	759	3556
176	763	3552
177	768	3548
178	773	3547
179	777	3543
180	781	3537
181	785	3532
182	790	3527
183	794	3522
184	798	3518
185	803	3516
186	807	3511
187	811	3506
188	816	3504
189	821	3500
190	825	3497
191	830	3494
192	834	3490
193	838	3485
194	843	3482
195	848	3480
196	853	3477
197	857	3474
198	862	3470
199	866	3465
200	870	3461
201	875	3456
202	879	3454
203	884	3449
204	889	3448
205	894	3445
206	898	3443
207	903	3441
208	908	3439
209	913	3438
210	918	3435
211	923	3433
212	928	3431
213	933	3429
214	938	3427
215	943	3425
216	948	3422
217	953	3420
218	958	3417
219	963	3414
220	968	3413
221	973	3411
222	978	3411
223	983	3408
224	989	3407
225	994	3405
226	999	3402
227	1003	3399
228	1008	3395
229	1012	3390
230	1017	3386
231	1022	3383
232	1027	3380
233	1031	3376
234	1036	3374
235	1041	3370
236	1045	3367
237	1050	3363
238	1056	3362
239	1061	3360
240	1066	3358
241	1071	3356
242	1076	3353
243	1081	3349
244	1085	3346
245	1090	3343
246	1095	3340
247	1100	3336
248	1104	3332
249	1109	3328
250	1115	3328
251	1120	3325
252	1125	3324
253	1131	3322
254	1136	3321
255	1142	3320
256	1147	3317
257	1153	3316
258	1158	3314
259	1164	3313
260	1169	3311
261	1174	3308
262	1180	3306
263	1185	3304
264	1190	3302
265	1195	3299
266	1200	3295
267	1206	3294
268	1211	3291
269	1216	3289
270	1221	3285
271	1226	3281
272	1231	3278
273	1236	3276
274	1243	3277
275	1248	3276
276	1254	3273
277	1260	3273
278	1266	3273
279	1271	3270
280	1277	3269
281	1283	3267
282	1288	3265
283	1294	3264
284	1300	3262
285	1306	3260
286	1311	3258
287	1316	3254
288	1321	3251
289	1327	3249
290	1332	3246
291	1337	3243
292	1342	3239
293	1348	3237
294	1353	3235
295	1358	3230
296	1363	3226
297	1368	3223
298	1373	3219
299	1377	3215
300	1382	3209
301	1387	3206
302	1391	3201
303	1396	3196
304	1400	3191
305	1405	3186
306	1409	3181
307	1414	3178
308	1419	3174
309	1423	3169
310	1428	3165
311	1433	3159
312	1437	3154
313	1441	3150
314	1446	3144
315	1451	3140
316	1455	3136
317	1460	3131
318	1465	3127
319	1469	3123
320	1474	3119
321	1479	3115
322	1484	3111
323	1488	3106
324	1493	3102
325	1498	3098
326	1503	3094
327	1508	3090
328	1512	3085
329	1517	3080
330	1521	3075
331	1526	3072
332	1531	3068
333	1536	3063
334	1541	3059
335	1546	3055
336	1550	3050
337	1555	3046
338	1560	3041
339	1564	3036
340	1569	3032
341	1573	3027
342	1578	3022
343	1582	3017
344	1586	3012
345	1591	3007
346	1595	3002
347	1599	2997
348	1604	2993
349	1608	2987
350	1613	2982
351	1617	2977
352	1621	2972
353	1625	2966
354	1630	2961
355	1634	2957
356	1639	2953
357	1644	2948
358	1648	2943
359	1653	2939
360	1657	2933
361	1661	2928
362	1666	2924
363	1671	2919
364	1675	2914
